country_name,country_title,site_name,site_url,status,lang
Cameroon,Cameroon newspapers,Cameroon Info Net,http://www.cameroon-info.net/,False,
Albania,Albania newspapers,‎Intervista,https://intervista.al/web/,False,en-US
Cameroon,Cameroon newspapers,Camer.be,http://camer.be/,False,fr
Cameroon,Cameroon newspapers,Cameroon Web,https://www.cameroonweb.com/,False,fr
Cameroon,Cameroon newspapers,‎Le Bled Parle,https://www.lebledparle.com/,False,fr-fr
Cameroon,Cameroon newspapers,Actu Cameroun,https://actucameroun.com/,False,en-US
Cameroon,Cameroon newspapers,Cam Foot,https://www.camfoot.com/,False,fr
Cameroon,Cameroon newspapers,Cameroon Radio Television,http://www.crtv.cm/,False,
Cameroon,Cameroon newspapers,Cameroon Tribune,https://www.cameroon-tribune.cm/,False,
Cameroon,Cameroon newspapers,237 Actu,https://237actu.com/,False,fr
Cameroon,Cameroon newspapers,237 Online‎,https://www.237online.com/,False,fr-fr
Cameroon,Cameroon newspapers,Canal 2,http://www.canal2international.net/,True,
Algeria,Algerian newspapers,Echorouk,https://www.echoroukonline.com/,False,ar-DZ
Cameroon,Cameroon newspapers,Agence Cameroun Presse,https://agencecamerounpresse.com/,False,
Cameroon,Cameroon newspapers,‎Cameroun Magazine,https://news1.cameroonmagazine.com/,False,en
Cameroon,Cameroon newspapers,‎Cameroon Voice,https://cameroonvoice.com/,False,fr-FR
Cameroon,Cameroon newspapers,cameroun24.net,http://www.cameroun24.net/,False,
Cameroon,Cameroon newspapers,cameroononline.org,https://www.cameroononline.org/,False,en-US
Cameroon,Cameroon newspapers,La Voix du Paysan,https://www.lavoixdupaysan.net/,False,fr-FR
Cameroon,Cameroon newspapers,Le Quotidien de L'Economie,http://quotidienmutations.cm/,False,
Cameroon,Cameroon newspapers,Bonaberi‎,https://www.bonaberi.com/,False,
Cameroon,Cameroon newspapers,Radio Balafon,https://radiobalafon.net/,False,fr-FR
Cameroon,Cameroon newspapers,Le Quatrieme Pouvoir,https://lequatriemepouvoir.com/,False,fr-FR
Algeria,Algerian newspapers,Echorouk Online,https://www.echoroukonline.com/en/,False,ar-DZ
Cameroon,Cameroon newspapers,Daily News Cameroon‎,https://www.dailynewscameroon.com/,False,en-US
Cameroon,Cameroon newspapers,News du Camer,http://www.newsducamer.com/,False,fr-FR
Cameroon,Cameroon newspapers,Cameroon Post,https://cameroonpostline.com/,False,en-US
Cameroon,Cameroon newspapers,Cameroon Report,https://cameroon-report.com/,False,fr-FR
Cameroon,Cameroon newspapers,Cameroon Business Today‎,https://www.cameroonbusinesstoday.cm/,False,en
Cameroon,Cameroon newspapers,Yaounde Info,http://www.yaoundeinfo.com/,True,fr-FR
Cameroon,Cameroon newspapers,‎Solowayne,https://solowayne.com/,False,en-US
Cameroon,Cameroon newspapers,Cameroon News Agency,https://cameroonnewsagency.com/,False,en-US
Cameroon,Cameroon newspapers,‎Sun,https://thesuncameroon.cm/,False,
Cameroon,Cameroon newspapers,237online.com‎,https://237cameroun.online/,False,
Algeria,Algerian newspapers,El Khabar,https://www.elkhabar.com/,False,ar
Cameroon,Cameroon newspapers,‎Cameroon Concord News,http://www.cameroonconcordnews.com/,False,en-US
Cameroon,Cameroon newspapers,‎Came Plus,https://www.cameplus.com/,False,fr
Cameroon,Cameroon newspapers,La Nouvelle Expression,http://www.lanouvelleexpression.info/,True,en
Cameroon,Cameroon newspapers,Bamenda Online,http://bamendaonline.net/,False,
Cameroon,Cameroon newspapers,Cameroun Link,http://www.camerounlink.com/,False,
Cameroon,Cameroon newspapers,Germinal,http://germinalnewspaper.com/,False,
Cameroon,Cameroon newspapers,Cameroon News Online,http://www.cameroonnewsline.com/,False,en-GB
Cameroon,Cameroon newspapers,L'Attaquant,https://www.lattaquant.com/,False,fr-fr
Canada,Canada newspapers,Toronto Star,https://www.thestar.com/,True,en
Canada,Canada newspapers,Globe and Mail,https://www.theglobeandmail.com/,True,en-CA
Afghanistan,Afghan newspapers,Ariana News,https://ariananews.af/,False,en-US
Algeria,Algerian newspapers,Liberte,https://www.liberte-algerie.com/,False,fr
Canada,Canada newspapers,La Presse,https://www.lapresse.ca/,False,fr
Canada,Canada newspapers,Le Journal de Montréal,https://www.journaldemontreal.com/,False,
Canada,Canada newspapers,Gazette,https://montrealgazette.com/,True,en-CA
Canada,Canada newspapers,Vancouver Sun,https://vancouversun.com/,True,en-CA
Canada,Canada newspapers,Province,https://theprovince.com/,True,en-CA
Canada,Canada newspapers,National Post,https://nationalpost.com/,True,en-CA
Canada,Canada newspapers,24 Hours,http://24hrs.ca/,True,
Canada,Canada newspapers,Winnipeg Free Press,https://www.winnipegfreepress.com/,False,
Canada,Canada newspapers,Calgary Herald,https://calgaryherald.com/,True,en-CA
Canada,Canada newspapers,Ottawa Citizen,https://ottawacitizen.com/,True,en-CA
Algeria,Algerian newspapers,El Moudjahid,http://www.elmoudjahid.com/,False,en-US
Canada,Canada newspapers,Edmonton Journal,https://edmontonjournal.com/,True,en-CA
Canada,Canada newspapers,Toronto Sun,https://torontosun.com/,True,en-CA
Canada,Canada newspapers,Chronicle Herald,https://www.thechronicleherald.ca/,False,en
Canada,Canada newspapers,Le Soleil,https://www.lesoleil.com/,False,fr
Canada,Canada newspapers,Hamilton Spectator,https://www.thespec.com/,False,en
Canada,Canada newspapers,Times-Colonist,https://www.timescolonist.com/,False,en
Canada,Canada newspapers,London Free Press,https://lfpress.com/,True,en-CA
Canada,Canada newspapers,Windsor Star,https://windsorstar.com/,True,en-CA
Canada,Canada newspapers,Edmonton Sun,https://edmontonsun.com/,True,en-CA
Canada,Canada newspapers,Waterloo Region Record,https://www.therecord.com/,False,en
Algeria,Algerian newspapers,El Watan,https://www.elwatan.com/,False,fr-FR
Canada,Canada newspapers,StarPhoenix,https://thestarphoenix.com/,True,en-CA
Canada,Canada newspapers,Calgary Sun,https://calgarysun.com/,True,en-CA
Canada,Canada newspapers,Leader-Post,https://leaderpost.com/,True,en-CA
Canada,Canada newspapers,‎National Observer,https://www.nationalobserver.com/,False,en
Canada,Canada newspapers,‎I Politics,https://ipolitics.ca/,False,en-US
Canada,Canada newspapers,Hill Times,https://www.hilltimes.com/,False,en-CA
Chad,Chad newspapers,Al Wihda,https://www.alwihdainfo.com/,False,fr
Chad,Chad newspapers,Journal du Tchad,https://www.journaldutchad.com/,False,fr
Chad,Chad newspapers,Tchad Actuel,http://www.tchadactuel.com/,False,
Chad,Chad newspapers,Tchad Infos,http://tchadinfos.com/,True,fr-FR
Algeria,Algerian newspapers,El Massa,http://www.el-massa.com/,True,
Chad,Chad newspapers,Tchad Anthropus,https://www.letchadanthropus-tribune.com/,False,fr-FR
Chad,Chad newspapers,‎Le Pays,http://www.lepaystchad.com/,False,fr-FR
Chad,Chad newspapers,‎Zoom Tchad,http://zoomtchad.com/,False,fr-FR
Chad,Chad newspapers,ReliefWeb » Chad,https://reliefweb.int/country/tcd,False,en
Chad,Chad newspapers,AllAfrica.com - Chad,https://allafrica.com/chad/,False,en
Chad,Chad newspapers,Actualité de l'Afrique,https://www.jeuneafrique.com/pays/tchad/,False,fr-FR
Chad,Chad newspapers,BBC - Country profile: Chad,https://www.bbc.com/news/world-africa-13164686,False,en-GB
Chechnya,Chechnya newspapers,Chechen Republic Today,https://chechnyatoday.com/,True,ru
Chechnya,Chechnya newspapers,The Guardian | Chechnya,https://www.theguardian.com/world/chechnya,True,en
Chechnya,Chechnya newspapers,Wikipedia: Chechnya,https://en.wikipedia.org/wiki/Chechnya,True,en
Algeria,Algerian newspapers,El Heddaf,https://www.elheddaf.com/,False,
Chechnya,Chechnya newspapers,BBC: Chechnya,http://news.bbc.co.uk/2/hi/europe/country_profiles/2565049.stm,True,en-GB
Chile,Chile newspapers,El Heraldo Austral,http://www.elheraldoaustral.cl/,True,
Chile,Chile newspapers,El Mercurio,https://www.emol.com/,False,
Chile,Chile newspapers,Las Últimas Noticias,http://www.lun.com/,False,
Chile,Chile newspapers,La Tercera,https://www.latercera.com/,False,
Chile,Chile newspapers,La Cuarta,https://www.lacuarta.com/,True,es
Chile,Chile newspapers,El Mercurio,http://impresa.elmercurio.com/,False,
Chile,Chile newspapers,BioBioChile,https://www.biobiochile.cl/,False,es
Chile,Chile newspapers,Cooperativa,https://www.cooperativa.cl/,False,es
Chile,Chile newspapers,‎Soy Chile,https://www.soychile.cl/,False,es
Algeria,Algerian newspapers,Ennahar El Djadid,https://www.ennaharonline.com/,False,en-US
Chile,Chile newspapers,‎El Mostrador,https://www.elmostrador.cl/,False,es
Chile,Chile newspapers,‎24 Horas,https://www.24horas.cl/,False,es
Chile,Chile newspapers,Clinic,https://www.theclinic.cl/,False,es-CL
Chile,Chile newspapers,Publimetro,https://www.publimetro.cl/,False,es
Chile,Chile newspapers,El Grafico,https://www.publimetro.cl/cl/grafico-chile/,False,es
Chile,Chile newspapers,La Segunda,https://digital.lasegunda.com/,False,
Chile,Chile newspapers,Diario Financiero,https://www.df.cl/,False,es
Chile,Chile newspapers,El Mercurio de Valparaíso,http://www.mercuriovalpo.cl/,False,es
Chile,Chile newspapers,El Dia,http://www.diarioeldia.cl/,False,
Chile,Chile newspapers,La Nación,http://lanacion.cl/,False,es-CL
Algeria,Algerian newspapers,Ech Chaab,http://www.ech-chaab.com/,True,
Chile,Chile newspapers,El Pinguino,https://elpinguino.com/,False,en
Chile,Chile newspapers,El Sur,http://www.elsur.cl/,False,es
Chile,Chile newspapers,El Mercurio de Antofagasta,http://www.mercurioantofagasta.cl/,False,es
Chile,Chile newspapers,El Diario de Atacama,http://www.diarioatacama.cl/,False,es
Chile,Chile newspapers,Diario Austral,http://www.australvaldivia.cl/,False,es
Chile,Chile newspapers,El Mercurio de Calama,http://www.mercuriocalama.cl/,False,es
Chile,Chile newspapers,Hoy X Hoy,http://www.hoyxhoy.cl/,True,es
Chile,Chile newspapers,Crónica Chillán,http://www.cronicachillan.cl/,False,es
Chile,Chile newspapers,La Hora,http://www.lahora.cl/,False,en
Chile,Chile newspapers,El Dinamo,https://www.eldinamo.cl/,False,es
Algeria,Algerian newspapers,Akher Saâ,http://www.akhersaa-dz.com/,False,ar
Chile,Chile newspapers,CNN Chile,https://www.cnnchile.com/,False,es
Chile,Chile newspapers,‎La Prensa Austral,https://laprensaaustral.cl/ ,False,es
Chile,Chile newspapers,CIPER Chile,https://ciperchile.cl/,False,es
Chile,Chile newspapers,‎El Lider,http://www.lidersanantonio.cl/,False,es
Chile,Chile newspapers,Diario Concepcion,https://www.diarioconcepcion.cl/,False,es
Chile,Chile newspapers,Cambio21,https://cambio21.cl/,False,es
Chile,Chile newspapers,‎La Estrella de Chiloe,http://www.laestrellachiloe.cl/,False,es
Chile,Chile newspapers,La Estrella de Concepcion,http://www.estrellaconcepcion.cl/,False,es
Chile,Chile newspapers,La Discusión,http://www.ladiscusion.cl/,False,es-CL
Chile,Chile newspapers,Chañarcillo,http://www.chanarcillo.cl/,False,es
Algeria,Algerian newspapers,Le Matin DZ,https://www.lematindz.net/,False,fr
Chile,Chile newspapers,El Ovallino,http://www.elovallino.cl/,True,
Chile,Chile newspapers,La Estrella del Norte,http://www.estrellaantofagasta.cl/,False,es
Chile,Chile newspapers,El Centro,http://www.diarioelcentro.cl/,False,en
Chile,Chile newspapers,Estrategia,http://www.estrategia.cl/,False,
Chile,Chile newspapers,El Trabajo,http://www.eltrabajo.cl/,False,es
Chile,Chile newspapers,El Rancagüino,https://www.elrancaguino.cl/,False,es
Chile,Chile newspapers,La Region,http://www.diariolaregion.cl/,False,es
Chile,Chile newspapers,El Diario de Aysén,http://diarioaysen.cl/,False,
Chile,Chile newspapers,El Andino,http://www.elandino.cl/,False,es
Chile,Chile newspapers,Santiago Times,https://santiagotimes.cl/,False,en-US
Algeria,Algerian newspapers,L'Expression,http://www.lexpressiondz.com/,False,fr-dz
Chile,Chile newspapers,El Divisadero,http://www.eldivisadero.cl/,False,
Chile,Chile newspapers,El Naveghable,http://www.elnaveghable.cl/,False,
Chile,Chile newspapers,La Estrella del Loa,http://www.estrellaloa.cl/,False,es
Chile,Chile newspapers,El Heraldo,http://www.diarioelheraldo.cl/,False,es
Chile,Chile newspapers,El Austral,http://www.australosorno.cl/,False,es
Chile,Chile newspapers,El Definido,https://www.eldefinido.cl/,False,
Chile,Chile newspapers,El Observatodo,http://www.elobservatodo.cl/,False,
Chile,Chile newspapers,El Tipografo,https://eltipografo.cl/,False,es_cl
Chile,Chile newspapers,La Prensa,https://www.diariolaprensa.cl/,False,es-CL
Chile,Chile newspapers,El Longino,http://www.diariolongino.cl/,False,es
Afghanistan,Afghan newspapers,Mandegar,https://mandegardaily.com/,False,fa-AF
Algeria,Algerian newspapers,El Raaed,http://elraaed.com/,False,tr
Chile,Chile newspapers,La Tribuna,http://www.diariolatribuna.cl/,False,es
Chile,Chile newspapers,Condor,http://www.condor.cl/,False,es
Chile,Chile newspapers,Puente Alto al Dia,http://puentealtoaldia.cl/,False,es-CL
Chile,Chile newspapers,El Observador,http://web.observador.cl/,False,es-CL
Chile,Chile newspapers,El Labrador,http://www.diariolabrador.cl/,False,es
Chile,Chile newspapers,El Gong,http://www.elgong.cl/,False,es
Chile,Chile newspapers,La Tribuna ‎,https://www.latribuna.cl/,False,es
Chile,Chile newspapers,Pura Noticia ‎,https://www.puranoticia.cl/,False,es-CL
Chile,Chile newspapers,El Ciudadano‎,https://www.elciudadano.com/,False,es
Chile,Chile newspapers,Ovejero Noticias‎,http://ovejeronoticias.cl/,False,
Algeria,Algerian newspapers,Annasr,https://www.annasronline.com/,False,
Chile,Chile newspapers,El Morrocotudo‎,http://www.elmorrocotudo.cl/,False,
Chile,Chile newspapers,El Nortero,http://www.elnortero.cl/,False,
Chile,Chile newspapers,El Martutino,http://www.elmartutino.cl/,False,
China,China newspapers,People's Daily,http://en.people.cn/,False,
China,China newspapers,China Daily,http://global.chinadaily.com.cn/,True,
